Republic of the Philippnes,,,,,,,,,,,,,,,,,,,
DEPARTMENT OF EDUCATION,,,,,,,,,,,,,,,,,,,
Education Management Information System Division - Planning Service,,,,,,,,,,,,,,,,,,,
Number of Enrollment in Elementary level (ALL SECTOR) including PSO,,,,,,,,,,,,,,,,,,,
SY 2020-2021,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"(SECTOR: PUBLIC,PRIVATE,SUCsLUCs, and PSO)",,,,,,,,,,,,,,,,,,,
 Region , Kindergarten ,, Grade 1 ,, Grade 2 ,, Grade 3 ,, Grade 4 ,, Grade 5 ,, Grade 6 ,, Non-Grade (ES) ,, Total Elementary (K to 6) ,,
, Male , Female , Male , Female , Male , Female , Male , Female , Male , Female , Male , Female , Male , Female , Male , Female , Male , Female , Total 
 Region I - Ilocos Region ,"51,362","47,897","45,996","40,374","56,529","53,289","54,292","49,735","44,437","40,355","49,742","46,502","52,971","49,154","1,620","1,041","356,949","328,347","685,296"
 Region II - Cagayan Valley ,"39,083","36,163","34,871","30,197","42,670","40,311","40,021","37,160","32,833","29,856","36,342","34,025","38,537","36,250",896,576,"265,253","244,538","509,791"
 Region III - Central Luzon ,"112,805","105,468","110,494","97,026","129,776","123,024","123,221","114,611","102,284","94,072","112,317","106,070","117,152","111,315","3,873","2,320","811,922","753,906","1,565,828"
 Region IV-A - CALABARZON ,"144,238","135,306","145,801","130,083","167,717","159,177","161,224","150,599","132,911","122,164","141,031","134,282","152,657","146,244","5,771","3,296","1,051,350","981,151","2,032,501"
 Region IV-B - MIMAROPA ,"38,522","35,740","38,307","33,186","41,487","38,195","38,845","36,025","32,916","30,363","36,004","33,752","36,338","34,716",950,672,"263,369","242,649","506,018"
 Region V - Bicol Region ,"67,026","61,162","73,670","63,667","76,000","69,514","74,014","68,391","62,881","56,385","67,743","63,169","67,858","63,561","1,241",809,"490,433","446,658","937,091"
 Region VI - Western Visayas ,"80,092","74,808","77,592","68,230","88,656","82,175","86,654","79,764","72,161","65,226","80,566","74,978","83,502","77,650","2,898","1,908","572,121","524,739","1,096,860"
 Region VII - Central Visayas ,"82,368","76,849","82,078","72,862","88,682","82,479","87,115","80,633","69,507","63,618","79,792","74,206","84,529","79,789","2,245","1,364","576,316","531,800","1,108,116"
 Region VIII - Eastern Visayas ,"53,778","49,080","51,131","44,618","56,579","53,001","54,843","50,948","46,744","42,175","49,531","46,291","50,119","46,942",832,537,"363,557","333,592","697,149"
 Region IX - Zamboanga Peninsula ,"42,130","38,512","45,776","40,734","47,157","43,820","45,316","42,467","38,876","36,120","39,861","37,907","41,460","39,748","1,781","1,146","302,357","280,454","582,811"
 Region X - Northern Mindanao ,"54,710","50,289","56,509","50,439","61,632","57,501","57,175","53,426","49,995","46,281","52,835","49,479","54,415","51,195","1,679","1,056","388,950","359,666","748,616"
 Region XI - Davao Region ,"52,226","48,619","54,241","48,361","58,877","55,427","56,903","53,596","45,764","41,659","53,134","50,610","54,812","53,114","2,010","1,228","377,967","352,614","730,581"
 Region XII - Soccsksargen ,"51,495","48,800","52,703","47,886","59,327","56,003","55,891","52,028","46,687","43,657","50,830","48,656","53,854","51,324",909,561,"371,696","348,915","720,611"
 CARAGA - CARAGA ,"32,679","30,523","32,747","28,502","36,346","33,806","33,856","31,280","29,217","26,505","32,125","29,827","32,250","30,763",908,612,"230,128","211,818","441,946"
 BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,"47,135","46,965","49,912","48,604","47,070","46,415","43,305","42,552","39,695","39,824","36,639","37,676","33,567","36,474",135,92,"297,458","298,602","596,060"
 CAR - Cordillera Administrative Region ,"17,849","16,460","16,708","14,657","19,746","18,451","18,083","16,732","15,892","14,313","17,530","16,101","18,083","17,225",405,208,"124,296","114,147","238,443"
 NCR - National Capital Region ,"94,017","90,093","104,007","95,460","113,914","107,609","111,706","104,923","97,940","92,108","103,886","99,772","109,476","106,315","6,446","3,183","741,392","699,463","1,440,855"
 PSO-Philippine School Overseas ,653,733,938,856,927,911,970,976,910,917,927,832,861,820, -   , -   ,"6,186","6,045","12,231"
 PHILIPPINES TOTAL ,"1,062,168","993,467","1,073,481","955,742","1,193,092","1,121,108","1,143,434","1,065,846","961,650","885,598","1,040,835","984,135","1,082,441","1,032,599","34,599","20,609","7,591,700","7,059,104","14,650,804"
,,,,,,,,,,,,,,,,,,,
(SECTOR: PUBLIC),,,,,,,,,,,,,,,,,,,
 Region , Kindergarten ,, Grade 1 ,, Grade 2 ,, Grade 3 ,, Grade 4 ,, Grade 5 ,, Grade 6 ,, Non-Grade (ES) ,, Total Elementary (K to 6) ,,
, Male , Female , Male , Female , Male , Female , Male , Female , Male , Female , Male , Female , Male , Female , Male , Female , Male , Female , Total 
 Region I - Ilocos Region ,"48,837","45,279","43,556","38,008","53,444","50,144","51,146","46,841","41,838","37,881","46,944","43,650","49,362","45,958","1,588","1,027","336,715","308,788","645,503"
 Region II - Cagayan Valley ,"36,947","34,180","33,335","28,820","40,677","38,430","38,175","35,416","31,149","28,293","34,487","32,407","36,499","34,434",888,564,"252,157","232,544","484,701"
 Region III - Central Luzon ,"106,932","99,567","104,009","90,820","121,219","114,636","114,662","106,430","94,087","86,262","103,224","97,328","106,437","100,791","3,817","2,296","754,387","698,130","1,452,517"
 Region IV-A - CALABARZON ,"133,600","124,211","134,311","119,040","152,869","144,681","146,039","136,073","119,212","109,148","126,135","119,914","135,106","129,293","5,646","3,236","952,918","885,596","1,838,514"
 Region IV-B - MIMAROPA ,"37,118","34,356","37,227","32,213","40,149","36,958","37,614","34,908","31,818","29,368","34,809","32,618","35,062","33,441",947,670,"254,744","234,532","489,276"
 Region V - Bicol Region ,"64,679","58,666","71,493","61,555","73,396","67,089","71,434","65,970","60,695","54,332","65,397","61,034","65,292","61,137","1,236",807,"473,622","430,590","904,212"
 Region VI - Western Visayas ,"74,799","69,483","74,406","65,255","84,721","78,498","82,568","76,019","68,684","61,935","76,795","71,391","79,057","73,438","2,879","1,907","543,909","497,926","1,041,835"
 Region VII - Central Visayas ,"77,963","72,272","77,868","69,012","83,877","77,772","82,362","76,021","65,182","59,478","75,207","69,801","79,295","74,652","2,206","1,354","543,960","500,362","1,044,322"
 Region VIII - Eastern Visayas ,"52,348","47,638","50,056","43,623","55,245","51,791","53,538","49,788","45,718","41,177","48,378","45,180","48,775","45,678",828,537,"354,886","325,412","680,298"
